M 64,45,-843
A -130,-155,996
G 0.7,-4.6,-0.4
M 58,48,-838
A -129,-156,997
G 0.9,-4.2,-0.3
M 55,46,-840
A -130,-156,996
G 0.7,-4.5,-0.4
M 64,45,-832
A -129,-155,998
G 0.8,-4.4,-0.4
M 63,46,-828
A -130,-156,997
G 0.7,-4.4,-0.4
M 57,45,-831
A -129,-156,996
G 0.7,-4.5,-0.4
M 60,43,-844
A -131,-156,994
G 0.7,-4.4,-0.3
M 57,45,-837
A -130,-155,997
G 0.7,-4.4,-0.3
M 67,43,-834
A -129,-156,997
G 0.7,-4.4,-0.4
M 60,51,-840
A -130,-156,998
G 0.7,-4.4,-0.4
M 66,31,-834
A -129,-156,998
G 0.7,-4.3,-0.4
M 67,46,-838
A -130,-156,999
G 0.8,-4.2,-0.4
M 69,37,-834
A -130,-155,1000
G 0.8,-4.2,-0.3
M 60,40,-838
A -131,-155,1000
G 0.8,-4.2,-0.4
M 54,40,-837
A -130,-155,999
G 0.7,-4.3,-0.4
M 61,48,-828
A -130,-156,998
G 0.7,-4.4,-0.4
M 67,43,-837
A -130,-156,998
G 0.7,-4.4,-0.4
M 66,51,-831
A -130,-155,997
G 0.7,-4.5,-0.3
M 64,40,-841
A -129,-155,997
G 0.6,-4.4,-0.4
M 58,48,-835
A -130,-155,998
G 0.8,-4.4,-0.4
M 58,43,-838
A -131,-154,999
G 0.8,-4.2,-0.4
M 70,46,-841
A -130,-156,997
G 0.8,-4.4,-0.4
M 64,45,-831
A -131,-155,998
G 0.7,-4.4,-0.4
M 70,40,-838
A -130,-155,999
G 0.8,-4.4,-0.4
M 60,45,-835
A -129,-156,997
G 0.5,-4.6,-0.4
M 61,37,-835
A -130,-155,996
G 0.6,-4.6,-0.4
M 63,40,-834
A -128,-156,995
G 0.7,-4.6,-0.4
M 67,43,-841
A -129,-156,996
G 0.7,-4.6,-0.4
M 60,51,-829
A -128,-156,995
G 0.7,-4.3,-0.4
M 64,45,-840
A -128,-156,996
G 0.7,-4.2,-0.3
M 58,43,-840
A -133,-155,1002
G 0.9,-3.9,-0.4
M 67,39,-838
A -132,-155,1000
G 0.8,-4.3,-0.4
M 73,37,-832
A -130,-154,997
G 0.7,-4.6,-0.4
M 64,51,-838
A -128,-157,999
G 0.4,-4.9,-0.4
M 63,34,-843
A -129,-156,1000
G 0.6,-4.4,-0.4
M 64,43,-840
A -131,-156,1006
G 0.9,-3.6,-0.4
M 57,42,-831
A -131,-154,999
G 1.1,-4.0,-0.3
M 67,43,-837
A -132,-154,1002
G 0.9,-3.9,-0.3
M 57,46,-829
A -132,-154,1003
G 0.9,-4.2,-0.3
M 64,48,-843
A -130,-152,999
G 0.6,-4.6,-0.4
M 67,42,-840
A -126,-159,995
G 0.5,-5.1,-0.3
M 61,37,-844
A -128,-157,999
G 0.8,-3.7,-0.3
M 58,39,-840
A -133,-162,996
G 0.7,-3.6,-0.2
M 61,43,-841
A -128,-154,997
G 0.4,-3.2,-0.4
M 67,37,-844
A -134,-154,1003
G 1.6,-4.3,-0.2
M 70,40,-837
A -131,-153,1001
G 0.7,-4.0,-0.4
M 58,39,-838
A -129,-156,994
G 0.4,-5.2,-0.4
M 67,45,-846
A -131,-154,999
G 0.4,-3.9,-0.4
M 66,45,-838
A -130,-155,998
G 0.9,-4.9,-0.3
M 61,39,-828
A -131,-156,998
G 0.7,-4.1,-0.4
M 58,43,-829
A -130,-155,997
G 0.7,-4.4,-0.4
M 55,40,-837
A -131,-155,1000
G 0.7,-4.1,-0.4
M 55,42,-838
A -130,-155,999
G 0.8,-4.5,-0.3
M 64,43,-837
A -131,-155,999
G 0.7,-4.2,-0.4
M 55,42,-840
A -131,-155,998
G 0.7,-4.5,-0.4
M 63,40,-841
A -131,-155,999
G 0.7,-4.4,-0.4
M 58,43,-838
A -130,-156,999
G 0.7,-4.4,-0.4
M 69,40,-840
A -131,-155,998
G 0.7,-4.3,-0.3
M 69,49,-835
A -130,-155,1000
G 0.7,-4.3,-0.3
M 66,48,-849
A -130,-156,999
G 0.8,-4.4,-0.4
M 67,34,-843
