Interval,10000,usec,,,,,,,,,,
pin0,pin1,pin2,pin3,,,,,,Offsets,,,
948,928,939,840,,-2,2,4,4,,,,
947,928,940,839,,-3,2,5,3,,,,
947,929,939,840,,-3,3,4,4,,,,
947,928,940,840,,-3,2,5,4,,,,
947,928,940,840,,-3,2,5,4,,,,
947,929,941,839,,-3,3,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,840,,-3,2,6,4,,,,
948,928,941,840,,-2,2,6,4,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,942,840,,-3,2,7,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,840,,-3,2,6,4,,,,
948,928,940,840,,-2,2,5,4,,,,
947,928,939,840,,-3,2,4,4,,,,
947,928,940,840,,-3,2,5,4,,,,
947,928,939,840,,-3,2,4,4,,,,
947,928,939,840,,-3,2,4,4,,,,
947,928,940,840,,-3,2,5,4,,,,
947,928,939,839,,-3,2,4,3,,,,
947,928,939,840,,-3,2,4,4,,,,
947,928,939,839,,-3,2,4,3,,,,
947,928,940,840,,-3,2,5,4,,,,
947,928,939,840,,-3,2,4,4,,,,
947,928,939,840,,-3,2,4,4,,,,
947,928,942,840,,-3,2,7,4,,,,
947,928,942,840,,-3,2,7,4,,,,
947,928,942,840,,-3,2,7,4,,,,
947,928,942,840,,-3,2,7,4,,,,
946,928,942,840,,-4,2,7,4,,,,
947,929,942,840,,-3,3,7,4,,,,
945,928,942,840,,-5,2,7,4,,,,
945,929,942,839,,-5,3,7,3,,,,
944,928,943,840,,-6,2,8,4,,,,
944,929,943,840,,-6,3,8,4,,,,
944,929,943,840,,-6,3,8,4,,,,
944,928,943,840,,-6,2,8,4,,,,
944,929,943,840,,-6,3,8,4,,,,
944,928,943,840,,-6,2,8,4,,,,
945,929,943,840,,-5,3,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,839,,-4,2,8,3,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
945,929,943,840,,-5,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
945,928,943,840,,-5,2,8,4,,,,
945,929,943,840,,-5,3,8,4,,,,
946,928,945,840,,-4,2,10,4,,,,
945,929,945,840,,-5,3,10,4,,,,
945,928,945,840,,-5,2,10,4,,,,
945,929,945,840,,-5,3,10,4,,,,
946,929,945,840,,-4,3,10,4,,,,
946,928,946,840,,-4,2,11,4,,,,
946,929,946,840,,-4,3,11,4,,,,
946,929,946,839,,-4,3,11,3,,,,
945,929,945,839,,-5,3,10,3,,,,
946,929,946,840,,-4,3,11,4,,,,
946,928,946,840,,-4,2,11,4,,,,
946,929,946,840,,-4,3,11,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,839,,-4,2,8,3,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,839,,-4,3,8,3,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,839,,-4,2,8,3,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,929,943,839,,-4,3,8,3,,,,
947,929,943,840,,-3,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,929,943,840,,-4,3,8,4,,,,
946,928,943,840,,-4,2,8,4,,,,
947,928,943,840,,-3,2,8,4,,,,
946,928,943,839,,-4,2,8,3,,,,
946,929,943,840,,-4,3,8,4,,,,
947,929,943,840,,-3,3,8,4,,,,
